cntr_01,dist_x,pang_x,count_01,source_01,ra_01,dec_01,velo_01,date_obs_01,tsys_01,int_01,rms1_01,vlo1_01,vhi1_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
4012,0.191294,-42.940159,5201,SDSSJ15482+4500,237.0616,45.00772,11100,2016.358,39.1,10,4.0,9747,12465,237.0615488,45.0077589,0.0453,0.0456,13.876,0.025,43.7,13.472,0.027,40.4,10.639,0.056,19.5,8.316,0.159,6.8
4013,0.423283,81.932907,5202,154816+425552,237.0666,42.93133,10677,2007.189,31.9,10,2.9,9238,12129,237.066759,42.9313465,0.0407,0.0393,12.593,0.023,46.7,12.573,0.022,48.4,10.988,0.083,13.1,8.827,,1.2
4014,1.193322,-49.061693,5203,NGC5995,237.1042,-13.75778,7553,2012.243,44.0,10,4.6,6143,8976,237.1039422,-13.7575628,0.0278,0.0268,8.568,0.022,49.4,7.696,0.018,58.8,4.791,0.012,93.4,2.481,0.014,75.7
4015,0.633635,-89.544245,5204,154832+083516,237.1359,8.58794,4270,2007.014,33.0,10,3.1,2889,5663,237.135722,8.5879414,0.0307,0.0317,11.498,0.022,49.5,11.381,0.021,52.0,7.302,0.016,67.5,5.113,0.037,29.3
4016,0.581724,115.827883,5205,154835+424146,237.1466,42.69633,10551,2007.189,31.8,10,2.9,9113,12002,237.1467979,42.6962596,0.0338,0.0337,12.511,0.023,47.9,12.269,0.022,49.8,8.427,0.019,57.6,6.281,0.048,22.8
4017,0.279313,-24.502133,5206,IRAS15462-0450,237.2367,-4.99275,29917,2011.191,34.0,20,2.7,28294,31555,237.2366677,-4.9926794,0.0297,0.0295,10.842,0.024,45.7,9.672,0.02,55.2,6.495,0.015,71.3,3.364,0.019,56.0
4018,1.41521,101.905598,5207,CGCG166-059,237.2405,28.73992,9799,2005.827,51.5,36,2.6,9458,12354,237.2409387,28.7398389,0.0473,0.0349,12.34,0.027,40.2,12.149,0.028,38.7,8.138,0.023,47.4,5.449,0.043,25.1
4019,0.100643,-135.676066,5208,J1549+1223,237.4456,12.39931,4413,2015.038,53.7,10,5.7,3031,5807,237.44558,12.39929,0.0309,0.0304,10.824,0.023,46.3,10.57,0.02,54.2,6.9,0.016,68.9,4.245,0.022,49.2
4020,1.179399,123.642488,5209,CGCG1548.4+4227,237.5196,42.30858,6139,2011.057,48.2,8,5.3,4741,7549,237.5199688,42.3083985,0.0343,0.0345,12.483,0.023,47.0,12.382,0.022,49.6,8.386,0.02,55.3,6.211,0.04,27.1
4021,0.528765,7.858096,5211,155007+300305,237.5305,30.05142,9579,2006.977,39.6,10,3.4,9292,12185,237.5305232,30.0515655,0.04,0.0385,12.45,0.024,45.9,12.396,0.024,45.8,9.413,0.027,39.5,7.707,0.115,9.5
4022,0.777119,31.781472,5212,NGC6004,237.5946,18.93914,3826,2006.988,67.1,5,9.8,2449,5215,237.5947202,18.9393235,0.0334,0.0328,11.384,0.023,47.4,11.351,0.022,50.3,8.039,0.019,57.9,5.44,0.034,31.8
4023,0.326311,-28.310716,5213,155036+512352,237.6517,51.39797,14989,2008.318,32.9,10,2.9,13510,16482,237.6516311,51.3980498,0.0315,0.0316,12.412,0.023,48.0,11.321,0.02,53.7,7.915,0.018,60.8,5.602,0.03,36.6
4024,0.839285,-81.042341,5214,J1550+1530,237.6617,15.51464,12443,2015.108,39.2,9,4.5,10987,13912,237.661461,15.5146763,0.034,0.0333,12.484,0.023,47.0,11.562,0.022,48.3,7.449,0.018,59.0,4.463,0.027,40.6
4025,0.22214,172.661397,5215,1548-0344,237.6729,-3.88828,9084,2003.916,53.0,28,3.0,7659,10522,237.6729079,-3.8883412,0.0288,0.0291,10.536,0.022,49.7,9.548,0.019,56.2,5.742,0.015,73.5,2.881,0.023,47.8
4026,0.307492,-49.739647,5216,155108+525725,237.7857,52.95706,14390,2008.318,32.9,10,2.9,12916,15877,237.7855918,52.9571152,0.0658,0.067,15.197,0.03,36.3,14.893,0.044,24.6,11.481,0.113,9.6,8.236,0.133,8.1
4027,1.600551,121.923868,5217,3C326,238.0379,20.09,26831,2004.297,28.2,36,1.2,25239,28439,238.0383018,20.0897649,0.0481,0.0481,13.375,0.024,44.4,13.266,0.029,37.7,11.334,0.158,6.9,8.833,0.539,2.0
4028,0.284755,-116.667163,5218,155228.8+100642,238.12,10.11167,12266,2012.996,34.2,10,3.4,10812,13733,238.1199282,10.1116345,0.0364,0.0354,12.031,0.024,45.0,11.392,0.022,48.7,8.291,0.021,51.0,6.059,0.048,22.6
4029,0.739074,-83.089879,5219,155243-165341,238.1826,-16.89472,7350,2009.141,39.0,10,3.7,5941,8771,238.182387,-16.8946953,0.0362,0.035,11.931,0.023,47.4,11.453,0.022,50.2,8.496,0.024,45.2,5.84,0.044,24.7
4030,0.187295,-117.719769,5220,NGC6013,238.2202,40.64672,4492,2008.277,58.1,10,5.2,3109,5887,238.2201393,40.6466958,0.0333,0.0329,11.758,0.023,47.3,11.651,0.021,52.8,8.689,0.019,56.4,6.177,0.042,25.8
4031,0.237957,57.720673,5221,NGC6008,238.2335,21.10047,4869,2006.988,65.9,5,9.1,3483,6267,238.2335599,21.1005053,0.0391,0.0372,11.829,0.022,48.9,11.867,0.022,48.3,9.554,0.04,26.8,6.984,0.087,12.5
4032,0.082603,130.4942,5222,155329+525132,238.372,52.85894,14090,2008.318,32.8,10,3.2,12619,15575,238.3720289,52.8589251,0.0394,0.0392,13.462,0.023,46.5,13.206,0.024,45.2,9.722,0.03,36.4,7.656,0.089,12.2
4033,0.584345,-73.684225,5223,2MASXJ15534030+,238.4183,43.73472,12142,2012.996,33.2,10,3.3,10689,13608,238.4180844,43.7347656,0.0363,0.0341,11.873,0.024,44.5,11.249,0.022,49.8,8.221,0.02,54.3,5.908,0.051,21.1
4034,0.746645,61.771034,5224,155403+171239,238.5136,17.21078,10245,2008.246,41.3,10,3.8,8810,11693,238.5137913,17.2108781,0.0593,0.0482,12.584,0.031,34.5,12.535,0.033,33.1,11.334,0.184,5.9,8.471,,0.3
4035,0.097647,103.647662,5225,155404+545708,238.5182,54.95233,13790,2008.318,33.0,10,3.1,12322,15272,238.5182459,54.9523236,0.045,0.0452,13.986,0.025,44.3,13.613,0.027,40.6,10.444,0.046,23.5,8.278,0.155,7.0
4036,0.417249,104.030867,5226,155410+190622,238.541,19.10625,10885,2008.246,40.2,10,3.8,9444,12339,238.541119,19.1062219,0.0342,0.0329,11.787,0.023,47.8,11.559,0.021,52.1,8.339,0.02,53.6,5.925,0.042,26.1
4037,0.431708,80.350885,5227,CG1329,238.5725,32.64383,14500,2016.241,41.2,10,4.0,13117,15895,238.5726404,32.6438501,0.0349,0.0338,11.79,0.022,49.1,11.186,0.021,50.6,8.708,0.022,48.9,6.194,0.042,25.6
4038,0.959779,-4.977292,5228,J1554+2217,238.6402,22.29564,7841,2015.038,50.3,10,5.1,6428,9267,238.640175,22.2959056,0.15,0.1616,16.138,0.054,20.1,16.007,0.158,6.9,12.509,,0.4,9.172,,-1.3
4039,0.816281,51.935187,5229,MRK1496,238.6716,16.61725,2217,2009.936,44.5,10,4.1,855,3591,238.6717863,16.6173898,0.0347,0.0346,11.876,0.023,48.2,11.843,0.022,48.6,8.19,0.021,52.6,5.924,0.043,25.0
4040,0.210947,82.547666,5230,155457+394109,238.7384,39.68606,9708,2007.189,31.8,10,2.8,8278,11151,238.7384755,39.6860676,0.0396,0.0383,12.52,0.023,47.7,12.467,0.023,47.2,10.119,0.04,27.1,8.854,0.268,4.1
4041,0.774207,127.192066,5231,MRK291,238.7829,19.1925,10552,2009.936,35.8,10,3.1,9114,12003,238.7830814,19.19237,0.033,0.0368,12.103,0.023,47.1,11.644,0.022,49.8,7.974,0.02,54.1,5.349,0.036,30.4
4042,0.45805,101.606866,5232,NGC6068,238.8581,78.99681,3975,2006.077,71.6,5,10.0,2597,5365,238.858753,78.9967844,0.0301,0.03,11.099,0.022,48.3,10.971,0.02,54.2,7.05,0.015,72.4,4.58,0.025,43.2
4044,0.083113,-4.976518,5234,1553+24,239.0163,24.44803,12779,2004.297,34.6,28,1.9,11320,14251,239.0162978,24.448053,0.0398,0.0379,11.616,0.023,47.2,11.618,0.022,50.4,10.528,0.076,14.2,8.775,,0.5
4045,0.097467,-175.75782,5235,B2_1553+24,239.0163,24.44808,12779,2004.146,26.9,4,3.6,11320,14251,239.0162978,24.448053,0.0398,0.0379,11.616,0.023,47.2,11.618,0.022,50.4,10.528,0.076,14.2,8.775,,0.5
4046,0.242252,37.059372,5237,MCG+03-41-003,239.0983,16.52333,4630,2005.844,58.6,5,8.7,4491,7294,239.0983423,16.5233837,0.0373,0.0356,11.107,0.022,50.1,11.175,0.02,54.1,10.53,0.084,12.9,8.374,,1.4
4047,0.174796,85.274507,5238,MRK863,239.1079,9.05519,12700,2016.264,45.2,8,4.7,11333,14079,239.107949,9.055194,0.0331,0.0326,11.283,0.023,47.9,10.779,0.021,51.7,7.35,0.019,56.2,4.917,0.034,31.7
4048,0.717098,158.949057,5239,MRK1101,239.1516,41.88083,10402,2010.163,25.9,10,2.3,8965,11852,239.1516961,41.8806441,0.0301,0.0298,11.311,0.023,48.2,10.961,0.02,54.2,6.551,0.015,72.7,4.252,0.026,42.3
4049,1.147196,134.460529,5240,KAZ49,239.2637,63.84114,9000,2016.332,46.3,10,4.8,7665,10347,239.2642159,63.8409168,0.0297,0.0301,11.611,0.022,49.6,11.29,0.02,54.2,7.185,0.015,71.6,5.07,0.031,35.0
4050,0.366921,153.482261,5241,MRK1102,239.2937,41.54361,10329,2012.355,43.1,10,4.2,8893,11778,239.2937608,41.5435188,0.0421,0.042,13.673,0.024,45.2,13.46,0.027,40.4,9.554,0.03,35.6,6.913,0.063,17.4
4051,0.87148,127.898579,5242,155730-050928,239.375,-5.15767,9431,2009.141,34.9,10,3.3,8003,10872,239.3751918,-5.1578187,0.0367,0.0357,12.387,0.113,9.6,12.003,0.022,50.0,8.743,0.028,38.6,5.962,0.056,19.3
4052,0.609268,103.497003,5243,SDSSJ15575+0830,239.3879,8.51197,13970,2016.241,39.2,10,3.6,12592,15360,239.3880664,8.5119305,0.0402,0.0382,12.858,0.024,45.8,12.075,0.022,50.4,9.65,0.043,25.4,8.131,0.229,4.7
4053,0.924221,70.925043,5245,155756-055046,239.4866,-5.84614,11176,2009.008,50.8,10,4.4,9732,12633,239.4868439,-5.8460561,0.0529,0.0512,12.58,0.081,13.4,12.608,0.031,34.5,11.386,0.245,4.4,8.506,,-0.2
4054,0.356552,26.547023,5246,MRK492,239.682,26.81808,4267,2010.163,35.2,10,3.0,2887,5660,239.6820496,26.8181686,0.0308,0.0295,10.669,0.023,46.7,10.409,0.02,54.4,6.05,0.015,72.1,2.827,0.023,46.8
4055,0.088035,-114.137553,5247,155847+415617,239.6976,41.93811,11600,2007.189,31.2,10,2.7,10152,13061,239.69757,41.9381,0.0352,0.0354,12.045,0.024,46.1,12.011,0.022,49.4,8.684,0.021,51.2,6.74,0.051,21.2
4056,0.062661,140.860082,5248,SDSSJ15589+0248,239.7325,2.80947,13900,2016.241,40.4,10,4.3,12523,15290,239.732511,2.8094565,0.0382,0.0365,11.801,0.023,46.5,11.446,0.022,50.4,9.145,0.033,32.6,6.995,0.107,10.1
4057,0.572549,55.448335,5249,155859+483147,239.7465,48.52983,6042,2008.277,49.0,10,4.4,4645,7451,239.7466978,48.5299202,0.0339,0.0333,11.838,0.022,48.7,11.752,0.021,52.9,8.912,0.022,50.5,6.782,0.055,19.6
4058,0.590913,30.520525,5251,MRK493,239.79,35.02972,9392,2010.163,28.2,10,2.6,7965,10832,239.7901018,35.0298614,0.0299,0.0297,10.482,0.023,47.0,9.62,0.02,53.8,6.623,0.015,71.9,4.282,0.023,47.2
4059,1.045845,-97.257164,5252,2MASXIJ1559189+,239.8296,65.23267,8975,2005.169,26.9,24,1.6,8634,11514,239.8289121,65.2326333,0.0289,0.0294,11.134,0.022,49.4,10.762,0.02,54.9,6.754,0.014,75.4,4.606,0.024,44.4
