cntr_01,dist_x,pang_x,count_01,source_01,ra_01,dec_01,velo_01,date_obs_01,tsys_01,int_01,rms1_01,vlo1_01,vhi1_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
1,0.792116,-88.202954,1,RXSJ00001+0523,0.04908,5.38817,11992,2016.2,51.3,3,10.9,10631,13365,0.0488591,5.3881769,0.0328,0.0325,11.895,0.023,47.8,10.875,0.02,53.6,7.922,0.019,55.7,5.711,0.039,27.8
2,1.106021,49.751738,2,KUG2358+330,0.24208,33.34389,12921,2012.963,36.5,8,4.0,11461,14395,0.2423607,33.3440885,0.046,0.0462,13.485,0.026,41.9,13.217,0.028,38.7,9.11,0.036,30.4,6.845,0.078,13.9
3,1.039782,81.638528,3,0001233+4733537,0.34708,47.56492,5237,2010.922,39.5,10,3.6,3848,6639,0.3475035,47.564962,0.0315,0.0306,11.772,0.022,49.7,11.178,0.02,54.5,7.759,0.018,61.0,5.191,0.028,38.1
4,0.287393,108.55232,4,NGC7805,0.3615,31.43372,4850,2006.097,43.8,5,6.0,3464,6248,0.3615887,31.4336946,0.0375,0.0356,10.552,0.023,47.1,10.613,0.02,53.9,10.126,0.06,18.0,8.89,0.473,2.3
5,0.239743,-18.912586,5,NGC7806,0.37525,31.44186,4768,2006.097,42.2,5,6.1,3383,6166,0.3752247,31.441923,0.0344,0.033,10.823,0.022,49.1,10.798,0.02,53.9,8.624,0.024,44.6,6.891,0.084,13.0
6,0.119134,78.848955,6,0001383+2329011,0.40967,23.48364,4382,2011.066,38.9,10,3.8,3000,5776,0.4097054,23.4836464,0.0337,0.0324,10.278,0.022,50.1,10.249,0.021,52.9,7.782,0.021,51.7,5.342,0.038,28.7
7,0.570163,68.517823,7,0001419+2329452,0.42458,23.49578,4393,2011.066,38.3,10,3.5,3011,5787,0.4247407,23.495838,0.0286,0.0276,10.353,0.02,54.3,10.068,0.019,56.1,6.14,0.014,79.0,3.682,0.026,42.1
8,0.376333,141.666231,8,UGC12915,0.42467,23.49592,4336,2005.172,27.1,28,1.5,3994,6788,0.4247407,23.495838,0.0286,0.0276,10.353,0.02,54.3,10.068,0.019,56.1,6.14,0.014,79.0,3.682,0.026,42.1
9,0.64766,-43.54569,10,0001523+4020109,0.46792,40.33636,13568,2010.996,45.1,10,4.1,12102,15048,0.4677574,40.3364904,0.0361,0.0356,11.828,0.023,47.1,11.468,0.02,53.5,9.19,0.031,34.7,6.892,0.067,16.2
10,0.499511,-163.298918,11,CGCG517-014,0.49371,36.64919,9609,2012.963,38.8,10,3.8,8179,11051,0.4936603,36.6490571,0.0303,0.0301,11.2,0.023,48.1,10.914,0.019,56.3,7.363,0.017,64.9,3.935,0.023,46.6
11,0.669477,-83.267965,12,NGC7811,0.61029,3.35189,7650,2014.066,41.9,9,4.4,6238,9074,0.610105,3.3519118,0.0319,0.0309,10.756,0.023,46.5,10.126,0.02,54.6,6.965,0.017,63.8,4.773,0.028,38.2
12,4.88199,-102.140117,13,MRK334,0.79146,21.96053,6600,2003.407,28.1,36,1.8,5198,8014,0.7900305,21.9602448,0.0298,0.0294,9.719,0.023,47.3,8.912,0.02,54.4,5.406,0.015,73.3,2.464,0.02,53.6
13,0.026535,147.261152,14,UM016,0.79175,4.74894,17358,2005.827,45.6,44,2.0,16982,20021,0.791754,4.7489338,0.0323,0.0312,11.828,0.023,47.8,10.73,0.021,52.0,7.252,0.017,63.3,4.62,0.028,38.2
14,0.990427,170.697107,15,NGC7814,0.81208,16.14558,1050,2010.364,34.9,10,3.1,-301,2414,0.8121263,16.1453085,0.0313,0.0307,8.438,0.023,47.7,8.38,0.02,54.0,6.85,0.016,68.5,5.694,0.044,24.4
15,0.526694,77.004463,16,UGC13,0.87167,27.35164,7690,2010.364,31.9,10,2.9,6278,9115,0.8718305,27.3516729,0.036,0.0343,11.108,0.022,49.8,11.06,0.022,50.2,8.146,0.025,43.1,6.322,0.057,19.1
16,0.420858,67.837822,17,NGC7808,0.88375,-10.74472,8787,2016.178,44.3,10,4.4,7454,10132,0.8838602,-10.7446759,0.0356,0.034,10.938,0.023,47.7,10.926,0.021,52.8,8.335,0.024,44.7,6.879,0.087,12.5
17,0.54171,85.884158,19,NGC7817,0.99546,20.75231,2309,2006.038,42.4,5,5.4,946,3684,0.9956205,20.7523208,0.0314,0.0313,10.237,0.023,47.6,10.086,0.021,51.7,6.609,0.016,69.2,4.545,0.029,37.5
18,0.106305,-101.723504,20,NGC7819,1.10225,31.47203,4958,2006.097,39.7,5,5.9,3571,6357,1.1022161,31.472024,0.0327,0.0325,11.759,0.024,46.0,11.581,0.021,50.7,7.387,0.017,64.2,4.98,0.032,33.9
19,1.28942,-138.366086,21,000435+005055,1.14675,31.47203,6295,2006.329,46.5,10,4.2,4896,7707,1.146471,31.4717623,0.249,0.254,16.785,0.088,12.3,16.205,0.179,6.1,12.621,,0.0,9.038,,0.4
20,0.152199,42.440161,22,MRK335,1.58137,20.20292,7730,2012.958,35.7,10,3.7,6318,9155,1.5814004,20.2029512,0.0296,0.0288,9.083,0.022,50.0,8.102,0.02,53.1,5.718,0.014,75.6,3.572,0.022,50.1
21,1.687432,163.487655,24,J0006+1419,1.58171,14.32742,5452,2014.925,50.8,10,5.8,4061,6856,1.5818475,14.3269706,0.0632,0.0871,13.758,0.039,28.0,13.625,0.045,23.9,10.769,0.154,7.1,8.077,0.4,2.7
23,0.200436,-132.340329,26,UGC00047,1.65983,17.28422,873,2004.06,33.3,28,1.8,537,3268,1.6597869,17.2841825,0.2592,0.2692,16.684,0.089,12.2,16.515,0.282,3.8,12.662,,-0.3,8.69,,0.3
24,0.253949,-100.784978,27,UGC00050,1.66733,26.15447,7552,2005.169,26.8,24,1.6,7202,10056,1.6672528,26.1544568,0.0329,0.0322,11.356,0.022,49.5,11.318,0.021,51.5,7.896,0.018,61.4,5.729,0.045,23.9
25,0.664698,176.531023,28,UGC52,1.70617,8.62853,5257,2008.055,52.2,10,5.1,3867,6659,1.7061813,8.6283457,0.0392,0.038,11.718,0.024,44.5,11.726,0.023,46.5,8.593,0.027,40.9,6.088,0.055,19.7
26,0.520363,109.815582,29,NGC1,1.81596,27.70808,4545,2006.038,41.1,5,5.9,3162,5941,1.8161136,27.708031,0.029,0.0297,10.091,0.023,46.8,9.985,0.02,55.6,6.357,0.014,76.9,4.494,0.028,39.0
27,2.171865,136.857617,30,2MASXJ00082041+,2.08542,40.6325,13389,2013.425,69.4,10,7.7,11925,14867,2.0859636,40.6320598,0.0465,0.0406,12.723,0.034,32.1,12.486,0.033,32.4,8.05,0.022,48.6,3.75,0.025,43.8
28,0.885371,-41.533533,31,NGC12,2.18671,4.61247,3940,2005.839,60.6,5,8.3,3802,6592,2.1865464,4.6126541,0.0546,0.0483,12.423,0.027,40.0,12.494,0.029,37.9,10.753,0.112,9.7,8.424,0.391,2.8
29,0.293564,-86.203024,32,NGC13,2.19888,33.43333,4808,2006.916,41.4,5,6.0,3422,6206,2.1987825,33.4333354,0.0353,0.0346,10.509,0.023,46.8,10.549,0.02,54.9,9.069,0.028,39.1,7.186,0.098,11.1
30,0.877197,-48.831215,33,NGC9,2.22788,23.81703,4528,2006.038,41.8,5,5.6,3145,5923,2.2276795,23.8171904,0.0413,0.0412,12.56,0.024,44.8,12.527,0.026,42.6,8.842,0.03,36.4,6.246,0.063,17.2
31,0.059914,-170.200936,34,NGC16,2.26783,27.72942,3056,2006.038,42.2,5,5.6,1686,4438,2.2678268,27.7294036,0.0343,0.0338,9.468,0.023,47.6,9.494,0.019,56.6,8.914,0.028,38.6,7.674,0.149,7.3
32,0.145772,-10.610471,35,2MASXJ00090793+,2.28292,14.46547,12423,2014.066,38.8,10,3.8,10967,13892,2.2829123,14.4655098,0.0299,0.0293,11.085,0.022,49.6,10.03,0.02,53.8,5.987,0.015,73.6,3.584,0.023,47.7
33,0.077515,-159.740707,36,J0009+1427,2.28292,14.46553,12429,2014.925,47.7,10,4.9,10973,13898,2.2829123,14.4655098,0.0299,0.0293,11.085,0.022,49.6,10.03,0.02,53.8,5.987,0.015,73.6,3.584,0.023,47.7
34,0.677664,-52.382165,37,UGC85,2.36937,47.35583,5153,2009.369,63.4,20,4.2,3764,6554,2.3691499,47.3559449,0.0371,0.0364,12.353,0.023,47.0,12.274,0.024,46.0,8.468,0.023,46.7,6.433,0.049,22.2
36,0.173321,-45.575157,44,MRK937,2.54162,-4.71056,8846,2016.178,42.5,10,4.4,7512,10192,2.5415855,-4.7105263,0.0341,0.033,11.534,0.023,47.4,11.156,0.021,52.3,7.882,0.019,55.8,5.755,0.045,24.2
37,0.394723,-1.646417,46,NGC26,2.60775,25.83183,4589,2006.038,41.2,5,5.7,3205,5985,2.6077465,25.8319396,0.0362,0.0356,11.696,0.023,47.1,11.779,0.022,50.1,8.536,0.025,43.9,6.182,0.05,21.8
38,0.522235,162.432769,47,MRK1501,2.62913,10.975,26783,2016.2,48.0,6,6.6,25290,28290,2.6291746,10.9748617,0.0308,0.0298,10.343,0.022,48.5,9.421,0.02,55.2,6.891,0.017,65.0,4.435,0.024,45.4
39,0.482109,140.813631,48,NGC21,2.69537,33.35283,4859,2006.916,41.1,5,5.9,3473,6257,2.6954713,33.3527262,0.0375,0.0399,11.337,0.024,45.1,11.353,0.023,47.8,8.483,0.027,40.2,6.521,0.085,12.7
40,0.303588,173.57351,49,NGC29,2.69546,33.35281,4589,2006.916,41.7,5,5.8,3205,5985,2.6954713,33.3527262,0.0375,0.0399,11.337,0.024,45.1,11.353,0.023,47.8,8.483,0.027,40.2,6.521,0.085,12.7
41,0.986051,-69.817494,52,ESO538-G025,2.72625,-21.0675,7768,2012.96,53.7,10,5.4,6355,9193,2.7259745,-21.0674055,0.0359,0.0349,11.443,0.023,47.4,11.46,0.02,53.2,8.77,0.027,39.8,6.577,0.078,13.9
42,1.19196,-179.966161,54,NGC0017,2.77729,-12.10731,5931,2005.832,49.7,48,2.1,5578,8402,2.7772898,-12.1076411,0.0288,0.0278,9.871,0.022,48.6,9.336,0.02,55.4,5.008,0.015,72.8,1.716,0.013,85.8
45,0.272859,-61.556587,59,NGC39,3.07863,31.06106,4857,2006.097,42.4,5,5.9,3471,6255,3.0785522,31.0610961,0.0408,0.0406,12.474,0.023,46.6,12.442,0.026,42.3,9.044,0.033,33.1,6.822,0.08,13.6
47,0.700389,-5.962389,61,NGC41,3.19996,22.02333,5949,2010.364,34.2,10,3.2,4553,7357,3.1999382,22.0235235,0.0336,0.0338,11.356,0.023,47.2,11.303,0.022,50.0,7.749,0.019,56.1,5.711,0.043,25.1
48,0.829919,97.351903,62,NGC43,3.25292,30.91528,4785,2006.097,42.3,5,6.0,3400,6183,3.2531865,30.9152505,0.0376,0.0352,10.405,0.022,48.4,10.489,0.02,53.9,9.902,0.058,18.9,8.453,,1.5
49,0.212603,-84.558774,63,UGC119,3.26292,14.41,2032,2010.124,39.0,10,3.5,671,3405,3.2628593,14.4100056,0.0415,0.0399,12.431,0.023,46.3,12.361,0.025,43.9,9.093,0.034,32.3,6.558,0.071,15.3
50,3.83091,101.052072,64,UGC00122,3.32208,17.03,854,2004.057,33.9,28,1.8,518,3248,3.3231723,17.029796,0.1285,0.1296,15.639,0.046,23.8,15.469,0.121,8.9,12.348,,-1.1,8.284,,1.6
52,0.030986,-26.542078,66,J0016+1556,4.0055,15.943,11751,2014.925,48.1,10,5.1,10302,13214,4.005496,15.9430077,0.0394,0.0385,13.562,0.025,43.8,12.107,0.024,45.8,8.438,0.024,44.7,5.499,0.047,23.2
53,0.112311,123.899479,67,001620+011113,4.08662,1.18719,13190,2006.186,33.7,10,3.1,11727,14666,4.0866459,1.1871726,0.0697,0.0688,14.371,0.03,36.8,14.324,0.052,21.0,11.987,,1.2,8.978,,-0.5
55,1.364475,-118.147473,69,ESO-539-G5,4.2925,-19.30147,3190,2006.918,57.8,5,7.9,1819,4573,4.2921459,-19.3016488,0.0392,0.0385,12.113,0.024,44.8,12.093,0.025,43.7,8.509,0.024,44.4,6.081,0.051,21.5
56,0.750964,0.187888,70,001717-121507,4.32121,-12.25197,7153,2009.105,43.2,10,4.1,5746,8573,4.3212107,-12.2517614,0.0345,0.0333,11.857,0.023,46.2,11.356,0.022,49.6,7.696,0.019,56.7,5.265,0.033,32.4
57,0.54596,134.554629,73,0018142+5357542,4.55917,53.96508,10759,2010.996,45.7,10,19.6,9319,12212,4.5593537,53.9649736,0.0374,0.0366,11.726,0.023,47.4,11.644,0.021,51.2,9.693,0.037,29.5,7.121,0.08,13.5
58,0.914666,70.167437,74,NGC70,4.59375,30.07947,7167,2010.364,33.4,10,3.0,5760,8587,4.5940262,30.0795562,0.0376,0.0358,11.092,0.021,51.1,11.16,0.022,50.2,9.524,0.042,25.8,7.237,0.117,9.3
59,0.726855,-106.309474,75,NGC71,4.59833,30.06336,6697,2010.364,34.3,10,2.9,5294,8112,4.5981061,30.0633033,0.0391,0.0366,11.004,0.022,49.1,11.076,0.021,51.8,10.606,0.088,12.4,8.853,,-0.7
60,0.313055,46.825247,76,IRAS00160-0719,4.64954,-7.04892,5396,2013.258,43.5,18,3.5,4005,6799,4.6496039,-7.0488605,0.0308,0.0304,11.114,0.023,47.9,10.667,0.021,52.0,6.315,0.016,68.8,2.972,0.022,50.5
61,0.136271,38.800887,77,2MASXJ00183589-,4.64958,-7.04889,5396,2011.861,53.5,10,5.8,4005,6799,4.6496039,-7.0488605,0.0308,0.0304,11.114,0.023,47.9,10.667,0.021,52.0,6.315,0.016,68.8,2.972,0.022,50.5
62,2.809006,-55.219376,78,ARP256NED02,4.70892,-10.36161,8193,2009.996,35.9,10,3.2,6776,9622,4.7082685,-10.3611649,0.0355,0.0355,12.253,0.023,47.5,12.176,0.024,45.8,7.933,0.02,53.8,5.168,0.038,28.8
63,0.573407,112.129183,79,ARP256NED01,4.71192,-10.37683,8125,2009.996,35.2,10,3.3,6709,9554,4.71207,-10.37689,0.0299,0.0292,10.78,0.023,47.4,10.306,0.02,53.9,5.418,0.015,73.3,2.376,0.018,59.0
64,0.381411,-155.489365,80,001936-044010,4.89996,-4.66944,6142,2009.105,40.4,10,3.6,4744,7552,4.8999159,-4.6695364,0.0303,0.0295,10.061,0.023,47.5,9.04,0.02,54.1,5.88,0.016,68.6,3.724,0.02,53.2
65,0.108371,-48.365029,81,IC9,4.93329,-14.12194,12557,2012.96,45.0,10,36.3,11100,14027,4.9332668,-14.12192,0.0343,0.0343,11.56,0.024,46.0,11.436,0.022,49.2,7.982,0.019,57.7,5.887,0.043,25.2
67,1.33663,-127.68992,84,CGCG456-060,4.99308,19.40228,5310,2004.06,31.8,28,1.9,4963,7776,4.9927685,19.402053,0.0317,0.0313,11.508,0.023,47.0,11.313,0.02,53.3,7.33,0.016,68.5,5.354,0.041,26.8
69,1.073224,49.249713,86,21313,5.38033,38.07686,10499,2010.936,32.1,10,2.7,9061,11950,5.3806169,38.0770546,0.0328,0.0319,11.511,0.023,46.9,11.286,0.021,52.5,7.627,0.017,63.7,5.507,0.036,30.4
71,2.357005,-176.221113,88,UGC00211,5.56367,20.60772,5638,2004.06,31.6,28,1.6,5291,8109,5.5636239,20.6070667,0.0729,0.0794,14.567,0.032,34.4,14.543,0.057,19.1,11.472,0.216,5.0,8.581,0.406,2.7
72,0.483127,-21.574295,89,UGC215,5.61042,29.50419,7091,2011.149,31.4,10,2.9,5685,8510,5.6103633,29.5043148,0.0351,0.033,11.022,0.022,50.5,10.792,0.02,53.5,8.571,0.026,42.5,6.462,0.063,17.3
73,2.738967,-48.473475,90,FGC0040,5.77667,20.97167,5410,2004.06,32.0,28,1.8,5063,7877,5.77606,20.9721744,0.1518,0.1549,15.903,0.054,20.1,15.979,0.181,6.0,12.48,0.465,2.3,9.046,,-0.6
75,0.694986,-122.913824,92,CGCG479-024NED0,6.00967,25.6625,7378,2009.996,31.1,10,2.8,5969,8800,6.0094902,25.6623951,0.0497,0.0478,13.332,0.025,43.2,13.243,0.03,36.2,9.729,0.048,22.7,7.673,0.199,5.5
77,1.610133,22.43755,94,002433-130009,6.13912,-13.0025,11395,2009.138,39.4,10,3.6,9949,12854,6.1392952,-13.0020866,0.0462,0.0523,12.777,0.027,39.5,12.564,0.03,36.5,9.173,0.041,26.2,6.794,0.13,8.3
78,0.386954,-66.302444,95,UGC-232,6.16125,33.25617,4842,2006.097,42.9,5,6.2,3456,6240,6.1611323,33.2562132,0.0308,0.0301,11.358,0.022,48.8,11.216,0.02,53.6,7.291,0.016,67.8,4.353,0.026,41.3
79,0.977591,-6.13078,97,UGC233,6.17792,14.82447,5279,2011.966,32.8,10,3.0,3889,6681,6.17789,14.82474,0.04,0.0383,12.056,0.023,47.8,12.006,0.025,43.4,8.308,0.028,39.0,5.996,0.063,17.2
80,1.352609,94.656119,98,CGCG457-013,6.18167,21.10111,5364,2009.996,33.9,10,2.9,3973,6767,6.1820714,21.1010795,0.0295,0.0286,10.974,0.022,50.4,10.692,0.02,55.4,6.314,0.014,77.9,4.101,0.025,44.1
81,0.577576,30.945799,99,UGC00238,6.26396,31.34475,6796,2005.169,27.0,28,1.5,6448,9288,6.2640566,31.3448876,0.0317,0.0313,11.309,0.022,48.4,11.205,0.021,52.6,7.648,0.017,64.6,5.549,0.039,27.9
83,0.339376,-39.444383,101,MRK945,6.47867,-3.42086,4431,2011.861,52.3,10,5.0,3049,5826,6.47861,-3.4207872,0.0393,0.0372,11.627,0.023,47.2,11.731,0.021,51.9,10.191,0.068,16.0,7.757,0.163,6.7
84,0.076327,51.839627,102,NGC108,6.49887,29.21208,4749,2006.038,43.7,5,6.1,3364,6146,6.4988891,29.2120931,0.035,0.0327,10.142,0.022,48.4,10.155,0.02,54.4,8.647,0.025,44.0,6.629,0.077,14.1
85,0.668493,30.861631,103,NGC118,6.8175,-1.78028,11250,2012.35,37.9,10,3.8,9805,12708,6.8175953,-1.7801206,0.0299,0.0288,10.14,0.022,50.3,9.721,0.02,53.5,5.781,0.014,75.0,3.797,0.022,48.7
86,1.205752,101.120478,104,0027252+4544279,6.85496,45.74111,12003,2010.996,46.7,10,4.6,10551,13468,6.8554309,45.7410454,0.0318,0.0309,11.446,0.022,48.6,11.215,0.02,53.1,7.743,0.017,64.1,5.45,0.03,36.4
87,0.539742,-92.982155,106,NGC124,6.96833,-1.81028,4044,2005.839,64.0,5,8.2,3906,6698,6.9681802,-1.8102878,0.036,0.0348,11.822,0.023,47.4,11.766,0.023,47.8,7.865,0.02,53.2,5.697,0.045,24.2
88,1.063739,-4.907107,107,UGC-275,6.99421,2.50747,4391,2005.839,59.8,5,8.8,4252,7051,6.9941847,2.5077644,0.0447,0.0443,12.634,0.026,42.2,12.624,0.026,41.8,9.304,0.038,28.6,7.173,0.114,9.6
89,0.211189,27.36274,108,002759-073403,6.99958,-7.56747,6502,2009.105,39.3,10,3.7,5101,7916,6.9996072,-7.5674179,0.0577,0.0557,13.722,0.027,40.6,13.555,0.037,29.2,10.393,0.081,13.4,7.855,0.246,4.4
90,0.665768,132.231354,109,MRK0948,7.05979,7.12925,12022,2003.939,45.6,44,2.3,10570,13487,7.059928,7.1291257,0.0377,0.0433,11.794,0.026,41.4,11.526,0.025,43.5,7.818,0.023,46.8,5.529,0.053,20.6
91,0.311584,64.32474,110,UGC284,7.14317,33.27236,4731,2010.16,41.3,10,3.6,3346,6128,7.1432633,33.2723975,0.0458,0.0457,13.301,0.026,41.8,13.257,0.027,39.9,9.68,0.038,28.6,7.409,0.098,11.0
92,0.626051,64.81616,112,2MASXJ00283779-,7.15746,-9.99833,14873,2012.96,40.0,10,4.0,13394,16365,7.1576198,-9.998256,0.0349,0.0345,12.886,0.025,44.3,12.183,0.023,46.8,7.234,0.019,58.3,3.842,0.025,43.7
93,0.185633,161.853617,113,PG0026+129,7.30708,13.26781,42571,2016.2,48.8,7,5.7,40931,44228,7.3070965,13.267761,0.0372,0.0353,10.979,0.023,47.3,10.013,0.021,51.6,7.636,0.032,34.1,5.592,0.088,12.3
94,0.99669,-122.535366,114,NGC128,7.31292,2.86417,4241,2005.839,60.3,5,7.5,4102,6898,7.3126863,2.8640211,0.0349,0.0335,9.53,0.021,50.6,9.57,0.019,56.1,8.974,0.032,33.4,7.714,0.205,5.3
96,2.411423,162.747044,116,0029509+1336045,7.46208,13.60128,11388,2011.066,38.0,10,3.7,9942,12847,7.4622844,13.6006403,0.0764,0.1094,13.838,0.043,25.2,13.842,0.064,17.0,10.523,0.336,3.2,7.466,0.476,2.3
97,0.181209,-67.083817,117,KUG0027-025,7.46525,-2.28336,5333,2010.111,30.0,10,2.8,3943,6736,7.4652036,-2.2833404,0.0357,0.034,12.072,0.022,48.8,11.945,0.022,48.6,7.906,0.02,54.2,5.631,0.048,22.4
98,0.350929,-35.862918,118,003007-110649,7.53046,-11.11367,3527,2006.48,46.2,10,4.3,2153,4913,7.5304018,-11.113591,0.0358,0.0358,11.042,0.023,47.1,11.076,0.021,50.8,8.478,0.025,43.6,6.315,0.066,16.4
100,0.494289,-47.59064,120,003053-091228,7.72412,-9.20789,5961,2006.48,44.6,10,4.1,4565,7369,7.7240173,-9.2077974,0.0411,0.0399,11.946,0.024,46.1,11.981,0.023,47.2,10.126,0.071,15.4,7.727,0.186,5.8
101,0.233881,-107.374358,121,NGC137,7.74208,10.20844,5276,2008.055,41.9,10,3.8,3886,6678,7.742017,10.2084206,0.0361,0.0342,10.226,0.022,49.5,10.238,0.021,52.5,8.529,0.028,39.1,6.686,0.124,8.7
102,1.596557,-31.035946,122,UGC313,7.85875,6.20667,2085,2010.124,40.3,10,3.8,724,3458,7.85852,6.20705,0.0424,0.0419,12.643,0.025,44.1,12.554,0.027,40.6,8.855,0.029,37.9,6.573,0.07,15.5
103,1.111474,57.122315,123,0031293+1722567,7.87204,17.38239,11450,2011.066,41.1,10,3.7,10003,12910,7.8723117,17.3825576,0.0327,0.032,11.36,0.022,49.3,11.073,0.021,51.5,7.265,0.018,61.1,5.541,0.038,28.5
104,1.084815,-49.675576,124,UM254,7.89283,-2.15464,13311,2003.944,31.9,20,2.0,11845,14786,7.8926001,-2.154445,0.0766,0.0884,13.76,0.047,22.9,13.401,0.059,18.5,8.886,0.064,17.0,6.179,0.17,6.4
105,1.213774,-127.811276,125,0032482+1447380,8.20075,14.79392,12601,2011.066,44.4,10,4.1,11144,14072,8.2004745,14.7937133,0.0573,0.0579,12.581,0.031,34.8,12.544,0.037,29.5,9.238,0.044,24.6,7.368,0.204,5.3
106,0.649278,93.305719,126,UGC323,8.21004,11.73689,4928,2010.124,38.3,10,3.3,3541,6327,8.2102239,11.7368796,0.0458,0.0443,12.259,0.024,44.5,12.132,0.026,41.2,,,,5.731,0.093,11.7
107,0.271679,-6.374159,127,NGC151,8.51163,-9.70531,3747,2005.971,61.6,5,8.4,2371,5135,8.5116215,-9.705235,0.0347,0.0333,10.142,0.022,50.5,10.2,0.019,56.0,8.876,0.031,35.3,7.203,0.124,8.7
108,3.188506,-39.816852,129,ESO540-G001,8.55746,-21.43919,8048,2012.35,44.0,10,5.3,6633,9476,8.5568507,-21.4385097,0.0302,0.0287,10.421,0.022,49.5,10.072,0.02,53.6,5.845,0.015,73.9,3.364,0.021,52.1
109,0.232844,-10.479952,130,NGC150,8.56446,-27.80358,1584,2006.918,69.2,5,9.8,227,2953,8.5644467,-27.8035164,0.0286,0.0278,9.972,0.023,46.8,9.709,0.019,56.2,5.425,0.014,76.7,2.243,0.015,70.1
112,0.577819,80.89467,133,NGC157,8.69479,-8.39644,1668,2005.971,61.4,5,8.2,311,3037,8.6949502,-8.3964146,0.0334,0.0334,10.418,0.024,45.6,10.387,0.021,52.0,6.849,0.02,55.2,4.255,0.028,38.5
113,0.381709,150.081157,134,J003502-092206,8.76221,-9.36842,6898,2013.105,41.6,9,4.2,5493,8315,8.7622636,-9.3685119,0.0351,0.0344,11.954,0.023,46.9,11.792,0.022,48.3,7.695,0.019,57.6,5.864,0.055,19.7
114,0.571105,-63.856588,135,CGCG434-024,8.77708,14.35472,11377,2010.124,32.3,10,3.0,9931,12836,8.776933,14.3547899,0.0405,0.04,12.843,0.025,44.1,12.571,0.025,42.6,8.422,0.025,43.1,6.271,0.062,17.5
115,0.171677,-66.520335,136,IC34,8.90175,9.12425,5338,2008.055,49.2,10,4.7,3947,6741,8.9017057,9.124269,0.0399,0.0393,10.563,0.023,46.8,10.64,0.021,52.0,9.86,0.108,10.0,7.811,0.376,2.9
116,0.383731,-86.557762,137,2MASXJ00354660+,8.94429,13.88,17872,2014.066,36.5,10,3.8,16365,19393,8.9441804,13.8800064,0.04,0.0388,12.099,0.023,47.4,11.988,0.024,45.3,8.805,0.036,30.5,6.73,0.091,12.0
117,0.539788,-100.063274,139,NGC166,8.95337,-13.61056,6021,2012.96,48.9,10,5.0,4624,7430,8.9532181,-13.6105862,0.0356,0.0345,11.36,0.022,48.5,11.391,0.021,52.0,8.743,0.027,40.9,5.942,0.049,22.0
118,0.534338,19.048132,140,J003610+043807,9.04417,4.63525,4905,2014.925,53.7,10,5.8,3518,6304,9.0442186,4.6353903,0.0437,0.0463,12.726,0.029,37.6,12.482,0.029,38.0,8.086,0.027,40.6,4.867,0.04,27.0
119,2.117211,145.126707,141,J003619+093343,9.07996,9.56247,0,2015.055,44.8,10,5.3,2722,10322,9.080301,9.5619875,0.0987,0.141,14.744,0.05,21.5,14.513,0.089,12.2,,,,7.412,,-0.3
120,2.938713,-91.720155,142,ESO350-IG038,9.21954,-33.55469,6175,2013.258,64.6,18,5.4,4777,7586,9.2185609,-33.5547145,0.0283,0.0278,10.627,0.022,48.7,9.291,0.019,58.1,4.835,0.014,76.3,1.479,0.017,62.8
121,0.517405,112.068907,143,NGC174,9.24546,-29.47783,3470,2006.918,75.2,5,11.3,2096,4856,9.245613,-29.477884,0.0292,0.0276,9.885,0.022,49.2,9.476,0.02,55.3,5.033,0.015,72.6,2.212,0.015,73.0
122,0.514053,153.062807,144,3C15,9.26704,-1.15217,21885,2004.297,38.2,28,2.0,20340,23445,9.2671047,-1.1522973,0.0391,0.0385,12.103,0.024,45.5,11.67,0.022,49.7,9.482,0.042,25.8,7.159,0.123,8.8
123,0.486018,-0.497149,145,B2_0034+25,9.27288,25.69886,9548,2004.149,38.5,20,2.4,8119,10990,9.2728787,25.698995,0.0379,0.0352,10.895,0.022,49.2,10.93,0.02,53.5,9.977,0.054,20.1,8.505,0.322,3.4
124,0.086835,-2.374692,146,NGC173,9.30208,1.94222,4366,2005.839,62.4,5,8.9,4227,7026,9.302079,1.9422441,0.0439,0.0395,11.606,0.023,47.2,11.676,0.024,45.3,10.11,0.073,14.9,7.82,0.224,4.9
125,0.619081,-67.719463,147,NGC177,9.39321,-22.54928,3892,2006.918,59.7,5,8.4,2515,5282,9.3930377,-22.5492148,0.0361,0.0341,10.781,0.021,50.9,10.818,0.02,54.5,9.177,0.037,29.5,7.4,0.143,7.6
128,1.793596,37.13288,150,NGC224,9.42304,40.83192,-299,2006.928,33.4,5,4.3,-1639,1051,9.4234375,40.8323172,0.1251,0.1287,16.275,0.054,19.9,15.048,0.064,16.9,11.912,0.234,4.6,9.318,,-0.1
129,0.066253,-155.90328,151,NGC180,9.49042,8.63522,5281,2008.055,46.1,10,4.4,3891,6683,9.4904124,8.6352032,0.0403,0.0381,11.205,0.023,46.6,11.21,0.022,49.7,,,,5.25,0.065,16.7
131,0.244305,28.919719,153,IC-1562,9.64146,-24.27406,3659,2006.918,62.1,5,8.9,2284,5046,9.641496,-24.2740006,0.034,0.0333,11.653,0.024,45.6,11.416,0.021,51.0,7.632,0.019,57.5,5.427,0.041,26.4
