cntr_01,dist_x,pang_x,count2019_01,sourcename_01,ra_01,dec_01,vsys_01,lum_01,class_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
42,2.727819,-49.639519,42,UGC_3193,73.21958,3.056667,4454.0,270.0,-999,73.2190018,3.0571577,0.0306,0.0301,10.352,0.023,48.1,10.118,0.02,53.7,6.317,0.015,70.1,4.017,0.027,40.3
43,3.143587,174.63974,43,Mrk_1089,75.40733,-4.257889,4019.0,15.0,-999,75.4074118,-4.2587584,0.0306,0.031,12.089,0.024,45.9,11.49,0.022,49.7,6.527,0.015,73.2,3.11,0.021,51.9
44,0.250224,100.947497,44,CGCG468-002_Ned01,77.08204,17.36336,5248.0,35.0,-999,77.0821115,17.3633468,0.0293,0.0287,10.152,0.023,47.9,9.624,0.019,56.8,6.297,0.015,72.5,3.511,0.022,50.1
45,0.56594,-106.785765,45,UGC+3255,77.45917,7.483333,5669.0,16.0,-999,77.4590182,7.4832876,0.0342,0.0347,10.948,0.023,46.4,10.555,0.02,53.2,7.501,0.022,50.1,4.98,0.039,27.6
47,0.285632,-120.191073,47,UGCA_116,88.92763,3.392167,789.0,3.0,22,88.9275613,3.3921271,0.0298,0.0283,11.849,0.023,47.3,10.449,0.021,51.0,4.962,0.014,75.9,1.804,0.013,84.9
48,0.278778,103.212744,48,Mrk_3,93.90125,71.0375,4050.0,10.0,-999,93.901482,71.0374823,0.0387,0.0373,9.248,0.023,47.0,8.38,0.02,53.6,,,,,,
49,5.916731,137.124905,49,NGC_2146,94.6525,78.35778,900.0,1.0,2,94.6580409,78.3565755,0.0292,0.0289,7.667,0.022,48.4,7.069,0.02,55.5,2.349,0.015,73.4,-0.621,0.016,69.1
50,0.421593,-47.045592,50,VII_Zw 073,97.60667,63.67805,11899.0,-999.0,-999,97.6064767,63.6781298,0.0353,0.0369,11.585,0.029,37.2,10.662,0.024,46.2,6.479,0.016,66.0,3.392,0.023,48.1
51,0.298385,-111.59109,51,NGC_2273,102.5362,60.84583,1840.0,32.0,1,102.5360418,60.8457995,0.029,0.0283,9.234,0.022,48.9,8.545,0.019,56.4,4.855,0.015,71.9,2.148,0.015,70.3
52,0.364605,-31.124107,52,ESO558-G009,106.0876,-21.58867,7674.0,766.0,1,106.0875437,-21.5885833,0.034,0.0356,10.979,0.028,38.3,10.692,0.022,50.4,7.532,0.016,67.3,5.257,0.032,34.0
53,5.596257,-115.906386,53,UGC_3789,109.8817,59.35583,3243.0,370.0,1,109.8789567,59.3551508,0.0295,0.0302,10.293,0.023,48.1,10.083,0.02,54.4,6.339,0.016,69.7,3.725,0.021,52.6
54,0.531536,113.764753,54,NGC_2410,113.7592,32.82222,4681.0,14.0,-999,113.7593608,32.8221605,0.0286,0.0288,10.192,0.022,50.0,9.569,0.02,54.4,6.188,0.015,74.8,3.682,0.022,50.1
55,0.569308,-5.912053,55,Mrk_78,115.6738,65.17694,11137.0,32.0,-999,115.6737612,65.1770973,0.0304,0.0295,10.886,0.023,47.4,9.801,0.02,54.9,6.025,0.016,66.7,3.179,0.021,50.8
56,0.346334,-123.787257,56,IC_485,120.0824,26.70144,8338.0,1060.0,11,120.0823105,26.7013865,0.0317,0.0309,10.915,0.022,50.0,10.866,0.02,54.6,7.567,0.018,61.4,5.582,0.047,23.2
57,0.662175,101.445572,57,Mrk_1210,121.0242,5.113889,4046.0,80.0,11,121.024381,5.1138525,0.0291,0.0287,10.006,0.022,50.2,8.614,0.02,53.7,4.634,0.015,74.9,1.697,0.019,57.2
58,0.060857,50.292168,58,J0804+3607,121.1292,36.12167,0.66,23000.0,-999,121.1292161,36.1216808,0.0948,0.1039,15.643,0.052,20.8,14.535,0.058,18.6,9.703,0.048,22.5,6.49,0.078,13.9
59,4.462265,-160.832217,59,He_2-10,129.0638,-26.40833,873.0,0.7,2,129.0633456,-26.4095008,0.0276,0.0282,9.147,0.023,47.8,8.724,0.021,52.9,3.794,0.014,80.2,0.49,0.01,106.6
60,0.455236,-139.321197,60,J0836+3327,129.095,33.46083,14810.0,800.0,11,129.0949012,33.4607341,0.0459,0.0436,12.632,0.026,42.1,12.342,0.026,41.6,9.167,0.035,30.9,6.511,0.121,9.0
61,0.255432,-127.201686,61,NGC 2639,130.9088,50.20555,3336.0,25.0,-999,130.9087117,50.2055071,0.03,0.0295,9.428,0.023,47.9,9.422,0.019,56.8,7.349,0.015,71.0,5.077,0.035,31.2
62,0.534732,55.421355,62,J0847-0022,131.9487,-0.3809444,15275.0,-999.0,-999,131.9488223,-0.3808601,0.0539,0.0386,12.569,0.032,33.9,12.29,0.03,35.7,8.148,0.03,36.6,5.19,0.061,17.9
63,0.561981,163.922056,63,CGCG120-039,132.3087,23.38028,7684.0,-999.0,-999,132.3087471,23.38013,0.0393,0.0437,11.941,0.026,41.7,11.678,0.025,43.5,8.03,0.026,41.2,5.071,0.073,14.9
64,1.004381,-117.378407,64,J0905+0328,136.3755,3.473,8424.0,-999.0,-999,136.3752518,3.4728717,0.0434,0.0494,12.259,0.027,39.6,12.059,0.028,38.8,8.297,0.03,36.1,6.407,0.09,12.1
65,0.536097,-23.369276,65,NGC_2781,137.8647,-14.81683,2053.0,14.0,-999,137.8646389,-14.8166933,0.035,0.0333,9.343,0.023,48.2,9.295,0.021,52.9,8.242,0.023,46.7,6.532,0.059,18.4
66,0.359527,-86.957874,66,J0912+2304,138.1933,23.07425,10889.0,143.0,-999,138.1931916,23.0742553,0.0482,0.048,13.35,0.025,44.0,13.186,0.029,36.9,9.901,0.06,18.1,8.018,0.228,4.8
67,0.416484,-34.186707,67,NGC_2782,138.5213,40.11361,2562.0,13.0,2,138.521215,40.1137057,0.0283,0.0286,9.47,0.022,49.8,8.986,0.019,56.2,4.947,0.014,76.5,2.224,0.019,56.4
68,0.61731,-52.156916,68,NGC_2785,138.8142,40.91753,2622.0,-999.0,-999,138.8140208,40.9176352,0.0284,0.028,9.602,0.022,48.7,9.137,0.02,55.1,5.002,0.015,74.9,2.502,0.017,63.0
69,0.268403,81.360185,69,NGC_2824,139.7592,26.27,2760.0,500.0,-999,139.7592822,26.2700112,0.0324,0.0321,10.351,0.022,48.8,10.307,0.02,53.3,7.631,0.019,57.0,5.12,0.032,34.3
70,0.668103,66.433081,70,SBS0927+493,142.7779,49.07972,10240.0,-999.0,-999,142.7781597,49.0797942,0.0303,0.0298,11.275,0.023,47.3,10.572,0.02,53.7,6.395,0.015,72.3,3.452,0.023,48.0
71,0.741742,-1.119914,71,UGC_5101,143.965,61.35305,11809.0,1900.0,-999,143.9649916,61.353256,0.0294,0.0293,10.033,0.023,46.7,8.336,0.02,54.2,5.621,0.015,73.9,2.661,0.019,56.0
72,0.445049,-44.747693,72,Mrk_1419,145.1517,3.576944,4932.0,400.0,1,145.1516128,3.5770318,0.0296,0.0292,10.386,0.022,48.7,10.256,0.02,53.4,6.83,0.014,75.5,4.569,0.024,44.8
73,0.817556,72.259111,73,NGC_2979,145.7858,-10.38333,2720.0,125.0,-999,145.7860199,-10.3832608,0.0313,0.0307,10.472,0.022,49.4,10.414,0.02,54.5,7.27,0.017,62.2,4.991,0.031,35.3
75,1.343246,-98.802192,75,M_82,148.9675,69.67973,200.0,1.0,2,148.9664382,69.6796729,0.0014,0.0014,3.669,0.383,2.8,3.286,0.053,20.6,-1.666,0.321,3.4,-4.348,0.001,1253.0
76,0.711184,66.459965,76,NGC_3081,149.8729,-22.82639,2391.0,17.0,-999,149.8730965,-22.8263111,0.0299,0.03,9.714,0.023,46.3,9.101,0.02,53.5,5.189,0.015,73.1,2.37,0.023,47.5
77,0.398083,-2.162339,77,NGC_3079,150.4908,55.67972,1125.0,500.0,-999,150.4907926,55.6798305,0.0301,0.0294,8.391,0.023,47.9,7.929,0.02,55.6,4.092,0.016,68.3,1.987,0.017,62.5
78,0.187519,-130.025891,78,J1011-1926,152.9608,-19.44553,8058.0,371.0,-999,152.9607577,-19.4455635,0.0495,0.049,12.685,0.028,38.4,12.53,0.029,37.2,9.399,0.053,20.6,7.001,0.166,6.6
79,0.173719,-65.775215,79,NGC_3160,153.4795,38.84283,6920.0,46.0,-999,153.4794435,38.8428498,0.0338,0.033,11.252,0.023,46.3,10.925,0.02,53.2,8.065,0.02,53.3,5.199,0.032,34.4
80,0.325346,26.32707,80,IC_2560,154.0779,-33.56389,2925.0,100.0,1,154.0779481,-33.563809,0.0291,0.0296,10.026,0.022,49.9,9.387,0.02,53.3,5.504,0.015,70.4,2.499,0.019,57.4
81,2.805231,-169.918806,81,J1020-0010,155.2481,-0.1760833,16779.0,-999.0,-999,155.2479636,-0.1768505,0.0468,0.0661,12.989,0.029,37.4,12.849,0.033,32.9,10.046,0.073,15.0,8.073,,0.5
82,0.924438,-161.277461,82,NGC_3256,156.9637,-43.90389,2804.0,10.0,22,156.9635856,-43.9041332,0.0265,0.0273,8.333,0.021,50.5,7.543,0.02,54.3,2.796,0.013,84.2,-0.597,0.011,96.9
83,1.09365,129.125751,83,J1028+1046,157.0119,10.77533,13424.0,1135.0,-999,157.0121399,10.7751383,0.0373,0.0379,12.052,0.022,48.7,11.874,0.024,45.4,8.246,0.024,45.3,5.79,0.051,21.4
84,0.080243,-54.952392,84,UGC_5713,157.912,25.98397,6312.0,237.0,-999,157.9119797,25.9839828,0.0295,0.0295,10.802,0.022,49.2,9.92,0.02,54.5,6.877,0.015,70.1,4.207,0.021,52.5
85,0.327623,-33.028175,85,Mrk_34,158.5358,60.03111,15140.0,1000.0,-999,158.5357007,60.0311863,0.0303,0.03,11.213,0.024,45.9,10.029,0.02,53.3,6.299,0.015,72.4,3.349,0.021,51.7
86,5.958424,-159.898273,86,NGC_3359,161.6533,63.22361,1014.0,0.7,-999,161.6520374,63.2220557,0.0309,0.0322,11.538,0.021,52.6,11.329,0.021,52.4,7.293,0.018,60.0,4.563,0.029,37.6
87,0.928456,111.065595,87,NGC_3393,162.0975,-25.16195,3750.0,320.0,1,162.0977659,-25.1620427,0.0298,0.0292,9.991,0.022,48.6,9.597,0.02,53.8,6.09,0.015,70.2,2.817,0.019,55.8
88,0.156359,63.322617,88,UGC_6093,165.1998,10.72814,10828.0,770.0,1,165.1998395,10.7281595,0.04,0.0395,11.83,0.024,45.4,11.866,0.022,48.5,9.886,0.052,21.0,7.561,0.154,7.1
89,0.425891,81.444321,89,J1103-0052,165.9098,-0.8690278,8584.0,26.0,-999,165.909917,-0.8690102,0.039,0.0385,12.823,0.023,46.3,12.481,0.025,44.0,8.455,0.025,43.6,5.868,0.053,20.4
90,0.376609,32.935823,90,J1109+2837,167.3881,28.62764,11422.0,36.0,-999,167.3881648,28.6277278,0.0356,0.0354,11.675,0.023,48.0,11.688,0.021,50.7,8.545,0.024,44.4,6.628,0.075,14.4
91,0.854026,50.09065,91,NGC_3556,167.8792,55.67417,699.0,1.0,-999,167.8795227,55.6743222,0.0275,0.0262,10.075,0.02,54.7,9.602,0.018,60.7,5.511,0.013,82.0,2.512,0.022,49.8
92,0.750938,-11.37014,92,NGC_3620,169.0196,-76.21639,1680.0,4.0,22,169.0194274,-76.2161855,0.0276,0.0292,8.284,0.023,47.8,7.901,0.019,57.7,3.923,0.015,70.3,1.029,0.011,96.4
93,0.359159,-6.107867,93,CGCG_185-028,169.2505,32.59739,10455.0,550.0,-999,169.2504874,32.5974892,0.0379,0.0384,11.453,0.022,49.1,11.569,0.022,50.1,10.225,0.073,14.9,8.572,0.38,2.9
